Idade;Faixa idade;Gênero;Cor/raca/etnia;Estado onde mora;Região onde Mora;Nível de Ensino;Área de Formação;Qual sua situação atual de trabalho?;Cargo Atual;Faixa salarial;Quanto tempo de experiência na área de dados você tem?;Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?
28;25-29;Masculino;Branca;Santa Catarina (SC);Sul;Estudante de Graduação;Outras Engenharias;Estagiário;Cientista de Dados/Data Scientist;Menos de R$ 1.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
29;25-29;Masculino;Branca;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Outra opção;Empregado (CLT);Outra Opção;de R$ 12.001/mês a R$ 16.000/mês;de 5 a 6 anos;de 5 a 6 anos
28;25-29;Masculino;Branca;Paraná (PR);Sul;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;de R$ 3.001/mês a R$ 4.000/mês;Não tenho experiência na área de dados;Menos de 1 ano
21;17-21;Masculino;Branca;Goiás (GO);Centro-oeste;Estudante de Graduação;Economia/ Administração / Contabilidade / Finanças/ Negócios;Somente Estudante (graduação);;;;
49;45-49;Masculino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);;de R$ 25.001/mês a R$ 30.000/mês;de 5 a 6 anos;Mais de 10 anos
33;30-34;Feminino;Parda;Pernambuco (PE);Nordeste;Mestrado;Economia/ Administração / Contabilidade / Finanças/ Negócios;Servidor Público;Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 3 a 4 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
23;22-24;Masculino;Parda;Rio de Janeiro (RJ);Sudeste;Estudante de Graduação;Química / Física;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 3.001/mês a R$ 4.000/mês;de 1 a 2 anos;de 3 a 4 anos
27;25-29;Masculino;Parda;Goiás (GO);Centro-oeste;Graduação/Bacharelado;Computação / Engenharia de Software / Sistemas de Informação/ TI;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;de R$ 4.001/mês a R$ 6.000/mês;de 1 a 2 anos;Menos de 1 ano
37;35-39;Feminino;Branca;São Paulo (SP);Sudeste;Graduação/Bacharelado;Outra opção;Desempregado, buscando recolocação;;;;
34;30-34;Masculino;Amarela;São Paulo (SP);Sudeste;Graduação/Bacharelado;Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde;Empregado (CLT);Analista de Dados/Data Analyst;de R$ 8.001/mês a R$ 12.000/mês;de 5 a 6 anos;Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
